Date:,2025-09-19 00:00:00,,,,,,,,,,,,,,
Customer ID:,,Product ID:,CWJGA,Lot Pass/Fail:,Pass,,,,,,,,,,
Lot ID:,BGGT332600,Wafer Q'ty:,5,Lot Type:,PROD,,,,,,,,,,
,,,,,,,,,,,,,,,
Wafer ID,T7Code,BOW_X_UM,Pass/Fail,BOW_Y_UM,Pass/Fail,BOW_XY_UM,Pass/Fail,TTV_THK_RNG_A,Pass/Fail,SI_THK_UM,Pass/Fail,MAC_FS_DDP,Pass/Fail,VI Pass/Fail,Final Pass/Fail
BP5044000_01,MBXAQ114WA	,223.71533,,235.5368,,235.5368,,,,,,98.31,,Pass,Pass
BP5044000_06,MBXAQ074WA,219.50656,,225.48799,,225.48799,,,,,,99.16,,Pass,Pass
BP5044000_09,MBXAQ087WA,212.46742,,216.22759,,216.22759,,,,,,99.16,,Pass,Pass
BP5044000_19,MBXAQ028WA	,219.58305,,222.80303,,222.80303,,,,,,98.82,,Pass,Pass
BP5044000_23,MBXAQ007WA,216.81491,,220.5411,,220.5411,,,,,,99.49,,Pass,Pass
Spec USL,,150,,150,,,,4500A,,,,,,,
Spec LSL,,-150,,-150,,,,0,,,,,,,
